rms_ch1,mav_ch1,var_ch1,wl_ch1,zc_ch1,ssc_ch1,iemg_ch1,rms_ch2,mav_ch2,var_ch2,wl_ch2,zc_ch2,ssc_ch2,iemg_ch2,mf_ch1,mdf_ch1,pf_ch1,mf_ch2,mdf_ch2,pf_ch2,ratio_rms,diff_rms,rms_ratio_ch1,rms_ratio_ch2,corr_coef,peak_time_ch1,peak_time_ch2,activation_time_diff,wl_ratio,iemg_ratio,mav_ratio,var_ratio,mdf_ratio,mf_ratio,pf_ratio,zc_ratio,ssc_ratio,rms_log_ratio,coactivation_idx,ch1_lead_ms,rms_dom,mav_dom,wl_dom,iemg_dom,zc_dom,ssc_dom,peak_ratio,ch1_rise_ms,ch2_rise_ms,ch1_fall_ms,ch2_fall_ms,rise_ratio,fall_ratio,onset_lag_ms,ch1_n_peaks,ch2_n_peaks,ch1_crest,ch2_crest,ch1_env_skew,ch2_env_skew,source,filename,file_id,subject_id,action_code,action_label,quality_label,abnormal_type,label_id,true_label,cycle_id,start_idx,end_idx,peak_idx,duration,file_cycle_count
398.7313119234402,251.5370017428484,158986.63036681752,259069.84428385654,124.40977212071442,660,1225236.7354894145,97.14594311493832,65.83612406174497,9437.32405895534,101497.20856540106,181.0716485321289,948,320687.7603047597,56.251283104085395,63.860222911738106,37.77458427427633,65.28433586532539,90.70602920689669,36.132211044959966,0.24363760810836738,-301.5853688085019,0.8040927626184031,0.19590723738159696,0.3676095695324216,0.5015397249024841,0.5471155820160132,111.0,0.39177546443496153,0.26173534551807465,0.26173534551807465,0.05935923062952737,1.4203838488359561,1.1605839416058394,0.9565217391304348,1.4554455445544554,1.4363636363636363,-1.4120733703811725,0.3918144747631939,-111.0,-0.6081855252368061,-0.5851184696571928,-0.4370134056156593,-0.5851184696571929,0.1854838709677419,0.1791044776119403,0.24861342053695198,4.5,7.0,11.5,2.0,1.5555555555555556,0.17391304347826086,106.5,9,9,6.5441692781357155,6.677820889156399,-0.06723465407513857,-0.054095668240607686,data_standard_manual,emg_01_qpj_1.mat,data_standard_manual_emg_01_qpj_1,01,qpj,前平举,标准,nan,1,,1,25,4895,,2.435,5
330.59031296537427,192.15745280997473,109289.95248935356,272596.3218488454,156.2937062937063,914,1099140.6300730554,101.09937348695239,63.93140365284923,10221.083305280368,119930.77391478022,193.006993006993,1158,365687.6288942976,70.2797202797203,74.51128474939806,73.42657342657344,66.0839160839161,93.76683893876547,55.94405594405595,0.3058146882166552,-229.49093947842186,0.7658054462273626,0.23419455377263737,0.24684482210081596,0.36153846153846153,0.2993006993006993,-178.0,0.4399574179921687,0.3327032218525047,0.3327032218525047,0.09352262557050751,1.2584246702245054,0.9402985074626865,0.7619047619047618,1.2348993288590604,1.2669584245076586,-1.1847759545391257,0.46838910754527474,178.0,-0.5316108924547251,-0.5007092105772274,-0.3889299607128223,-0.5007092105772274,0.10510510510510512,0.11776061776061776,0.41144048318848775,4.0,3.0,13.0,2.5,0.75,0.19230769230769232,-89.0,9,5,7.0445949538480646,9.477738196881601,-0.1576923076923077,-0.13653846153846155,data_standard_manual,emg_01_qpj_1.mat,data_standard_manual_emg_01_qpj_1,01,qpj,前平举,标准,nan,1,,2,8316,14035,,2.8595,5
465.6468442196356,271.65946115579817,216826.98336060336,269447.2280215915,137.71657041314973,628,1223010.8941234034,113.34834699822922,75.41433497629896,12847.846180474895,109101.02911257188,187.4722345624167,876,339515.33606329793,56.41936916925811,63.96203716722104,43.09195912927588,75.07774322523323,94.48379511129511,41.314971123944915,0.24342127173262929,-352.2984972214064,0.8042326625203724,0.19576733747962752,0.196285739577571,0.34451354953354063,0.3976010661928032,119.5,0.4049068528692725,0.2776061420995326,0.2776061420995326,0.059253908260614115,1.4771855196587722,1.330708661417323,0.9587628865979382,1.361290322580645,1.394904458598726,-1.4129617081116557,0.39153467495925504,-119.5,-0.6084653250407449,-0.5654276651436049,-0.4235819235384577,-0.5654276651436049,0.15300546448087426,0.16489361702127658,0.23598529713387323,13.5,3.5,5.0,4.0,0.25925925925925924,0.8,227.0,5,9,7.256765385809846,7.0350874581007,-0.08374055975122169,-0.06219458018658375,data_standard_manual,emg_01_qpj_1.mat,data_standard_manual_emg_01_qpj_1,01,qpj,前平举,标准,nan,1,,3,16166,20667,,2.2505,5
371.9980412045583,231.81907682787983,138382.54243465787,242304.01071523715,123.65022231632437,710,1094881.4998580765,113.43211644856355,73.4497135820473,12866.845014104705,112317.50543807184,177.00614016514928,914,346902.9972480094,55.89667584162609,66.76716463001364,44.46326487402075,74.52890112216812,98.20546034618974,40.652127884818974,0.3049266498319766,-258.5659247559948,0.7663265978426916,0.23367340215730836,0.21505651647055296,0.24814736396358247,0.4526783823840779,483.0,0.4635396050875555,0.31684067845970226,0.3168406784597023,0.09298026172759641,1.4708646217102312,1.3333333333333333,0.9142857142857143,1.4315068493150684,1.287323943661972,-1.187684023651824,0.4673468043146167,-483.0,-0.5326531956853833,-0.5187866176334889,-0.3665499676589559,-0.518786617633489,0.17746478873239438,0.12561576354679804,0.5477208944599187,7.0,9.0,11.0,2.5,1.2857142857142858,0.22727272727272727,-346.5,8,4,6.124827606753713,11.001649272152767,-0.1197332204107559,-0.07717552403133604,data_standard_manual,emg_01_qpj_1.mat,data_standard_manual_emg_01_qpj_1,01,qpj,前平举,标准,nan,1,,4,24392,29114,,2.361,5
346.35223941830674,199.0281655624761,119959.87374599952,257584.3634429027,150.18125323666493,940,1152970.163103424,106.65635993161418,67.85434494913865,11375.579031680232,122391.78391655187,182.28896944588297,1104,393080.2202903602,64.21543241843604,67.88346163829968,45.91748662178491,65.59640945969274,87.45958116910016,40.04833419644398,0.30794188052816374,-239.69587948669255,0.7645599662243303,0.23544003377566963,0.24329821139358368,0.28689798032107716,0.3531848783013982,192.0,0.47515222694673304,0.34092835432299046,0.3409283543229904,0.09482820110136696,1.288378333372376,1.0215053763440862,0.8721804511278195,1.213793103448276,1.174468085106383,-1.177844213398453,0.47088006755133927,-192.0,-0.5291199324486606,-0.49150399687816476,-0.3557922792413064,-0.4915039968781646,0.09657320872274149,0.08023483365949119,0.35639195804664175,3.0,1.5,4.0,8.5,0.5,2.125,303.0,6,7,7.47038722444878,8.645741611116849,-0.16252373554289662,-0.14905920939064388,data_standard_manual,emg_01_qpj_1.mat,data_standard_manual_emg_01_qpj_1,01,qpj,前平举,标准,nan,1,,5,32030,37822,,2.896,5
286.50726346461784,194.6285971023455,82086.38523292608,181319.6827242347,132.86052009456264,642,823278.9657429215,89.34245151437234,62.78853405925462,7982.065601962113,86234.1089603949,190.07092198581557,810,265595.49907064706,54.846335697399525,65.65247602171277,38.29787234042553,71.39479905437352,92.38805063782024,43.97163120567375,0.3118331117821928,-197.1648119502455,0.7622920865608038,0.23770791343919617,0.31016739299282525,0.4453900709219858,0.24964539007092199,-414.0,0.4755915500444954,0.3226069292696862,0.32260692926968615,0.09723982338011866,1.4072287328091846,1.3017241379310345,1.1481481481481481,1.4306049822064055,1.2616822429906542,-1.1652871324156937,0.47541582687839234,414.0,-0.5245841731216078,-0.5121650701651435,-0.35538862359281703,-0.5121650701651435,0.1771595900439238,0.11570247933884298,0.3479278721843606,15.0,3.5,3.5,13.0,0.23333333333333334,3.7142857142857144,38.5,13,14,4.587333170446587,5.118318128156398,-0.11891252955082743,-0.13333333333333336,data_standard_manual,emg_01_qpj_2.mat,data_standard_manual_emg_01_qpj_2,01,qpj,前平举,标准,nan,1,,1,0,4229,,2.1145,6
355.89354926884215,199.2151992405122,126660.21786528891,245691.90229189862,140.53645636569703,808,1054645.2647792716,104.92246350293779,69.11803353345977,11008.718030118065,108139.11926472199,176.80392897619947,1006,365910.86952613597,62.712504722327154,68.11924976679497,34.756327918398185,61.95693237627502,83.49722367378904,55.912353607857945,0.29481417608859023,-250.97108576590438,0.7723115937924213,0.22768840620757866,0.3579590843867346,0.3252738949754439,0.3014733660748017,-63.0,0.44014116157660493,0.34695160709105166,0.3469516070910517,0.0869153568157172,1.2257507820423785,0.9879518072289156,1.6086956521739129,1.258064516129032,1.245049504950495,-1.2214100326840607,0.4553768124151573,63.0,-0.5446231875848427,-0.48483433960876016,-0.38875275102232726,-0.48483433960876027,0.11428571428571421,0.10915104740904079,0.2760427633238784,3.5,2.0,13.5,5.5,0.5714285714285714,0.4074074074074074,-19.5,6,7,7.342599527554667,6.875081417244093,-0.12448054401208913,-0.10993577635058555,data_standard_manual,emg_01_qpj_2.mat,data_standard_manual_emg_01_qpj_2,01,qpj,前平举,标准,nan,1,,2,7509,12802,,2.6465,6
275.04715958372026,156.68151995680427,75650.9369809141,240339.31897502774,129.26005526558183,1064,1020623.4209986229,86.62847810325997,52.656533198369274,7504.493217406374,107394.54903723649,175.0076757752533,1319,343004.65725417744,66.62572919864907,70.63890598810839,72.15228738102549,65.39760515812097,86.9964504924595,36.229659195578755,0.3149586355822429,-188.4186814804603,0.7604801953007562,0.2395198046992438,0.34806458308026217,0.22413263739637704,0.29935523487872273,245.0,0.44684552446616205,0.33607366850210685,0.33607366850210685,0.0991989460659248,1.2315656545856586,0.9815668202764976,0.502127659574468,1.353919239904988,1.2396616541353382,-1.155313964391081,0.4790396093984876,-245.0,-0.5209603906015124,-0.49692344602691807,-0.3823175772257605,-0.4969234460269181,0.1503531786074672,0.10700797314309694,0.36613481590868896,3.0,10.0,3.5,2.5,3.3333333333333335,0.7142857142857143,57.5,9,10,6.11114855685975,7.104120983125834,-0.1880564937058643,-0.17055572612833897,data_standard_manual,emg_01_qpj_2.mat,data_standard_manual_emg_01_qpj_2,01,qpj,前平举,标准,nan,1,,3,15536,22049,,3.2565,6
280.0301277518603,172.9056620578837,78416.86782954106,206691.07663038597,132.53937764118325,742,900146.8766733424,86.02410364596986,57.290194835413686,7400.142663300229,95457.1235866842,175.95082597003457,1013,298252.75431316363,54.9366116019977,68.19866906283708,42.643104110641566,72.60852862082213,92.75825800061352,37.64886669227814,0.30719588758748617,-194.00602410589042,0.7649962867046378,0.23500371329536227,0.3294448573834645,0.40530157510564735,0.4129850172877449,20.0,0.4618347591143705,0.3313378761201853,0.3313378761201853,0.09436927115459795,1.3601183025309138,1.3216783216783217,0.8828828828828829,1.327536231884058,1.3652291105121295,-1.1802696645577084,0.47000742659072453,-20.0,-0.5299925734092755,-0.5022482540859161,-0.3681436889704746,-0.502248254085916,0.14072229140722292,0.1544159544159544,0.37347555918702424,1.5,2.5,17.5,2.5,1.6666666666666667,0.14285714285714285,-42.0,12,9,5.749169325607474,6.989593010520512,-0.09220130618517097,-0.09124087591240876,data_standard_manual,emg_01_qpj_2.mat,data_standard_manual_emg_01_qpj_2,01,qpj,前平举,标准,nan,1,,4,23705,28910,,2.6025,6
301.82253594126223,183.80277038186787,91096.84303817853,216137.99607706352,148.6249268578116,770,942356.8037478366,88.34340609721741,56.32118487617734,7804.557131041944,94520.2237169825,190.75482738443534,1019,288758.71486016124,61.63448410376439,67.12651109944979,36.27852545348157,68.65613419153502,89.75077319251389,43.690267212795014,0.2926998337672504,-213.47912984404482,0.7735747881128366,0.22642521188716325,0.18298169691471927,0.37468305051687145,0.43943826799297836,166.0,0.43731424105219113,0.3064218496770461,0.3064218496770461,0.08567318987959953,1.33703914776005,1.1139240506329113,1.2043010752688172,1.2834645669291338,1.3233766233766233,-1.2286076532132235,0.4528504237743265,-166.0,-0.5471495762256734,-0.530899074058207,-0.3914841604407208,-0.530899074058207,0.12413793103448273,0.13918390162101732,0.30578868842914825,5.0,3.5,3.5,2.5,0.7,0.7142857142857143,55.5,12,10,5.899241113228788,6.1630414323227285,-0.10678759508484492,-0.11341915350107273,data_standard_manual,emg_01_qpj_2.mat,data_standard_manual_emg_01_qpj_2,01,qpj,前平举,标准,nan,1,,5,31571,36697,,2.563,6
