rms_ch1,mav_ch1,var_ch1,wl_ch1,zc_ch1,ssc_ch1,iemg_ch1,rms_ch2,mav_ch2,var_ch2,wl_ch2,zc_ch2,ssc_ch2,iemg_ch2,mf_ch1,mdf_ch1,pf_ch1,mf_ch2,mdf_ch2,pf_ch2,ratio_rms,diff_rms,rms_ratio_ch1,rms_ratio_ch2,corr_coef,peak_time_ch1,peak_time_ch2,activation_time_diff,wl_ratio,iemg_ratio,mav_ratio,var_ratio,mdf_ratio,mf_ratio,pf_ratio,zc_ratio,ssc_ratio,rms_log_ratio,coactivation_idx,ch1_lead_ms,rms_dom,mav_dom,wl_dom,iemg_dom,zc_dom,ssc_dom,peak_ratio,ch1_rise_ms,ch2_rise_ms,ch1_fall_ms,ch2_fall_ms,rise_ratio,fall_ratio,onset_lag_ms,ch1_n_peaks,ch2_n_peaks,ch1_crest,ch2_crest,ch1_env_skew,ch2_env_skew,source,filename,file_id,subject_id,action_code,label_id,true_label,cycle_id,start_idx,end_idx,peak_idx,duration,file_cycle_count
302.26966464159364,186.05071093919628,91366.86805344053,212883.86063051008,161.8773946360153,715,776947.7688820837,270.3340990862655,166.1506309809949,73080.50944800615,233400.82601008934,196.83908045977012,799,693845.0349766347,72.31800766283524,82.28820786111697,26.81992337164751,81.89655172413794,97.58783072190262,73.27586206896551,0.8943474344565979,-31.93556555532814,0.5278862693351996,0.4721137306648004,0.6439082393301739,0.5026340996168582,0.5019157088122606,-1.5,1.0963763308257046,0.8930394844623571,0.8930394844623573,0.7998578807063992,1.1859272823951614,1.132450331125828,2.7321428571428568,1.2159763313609468,1.1174825174825176,-0.11166095015928729,0.9442274613296008,1.5,-0.055772538670399184,-0.056501999253343975,0.045972819578508,-0.05650199925334401,0.09746328437917227,0.05548216644649934,0.5886151368668955,3.0,8.0,3.0,4.0,2.6666666666666665,1.3333333333333333,176.0,2,6,10.272226570279525,6.760670200017519,0.011973180076628398,-0.00023946360153254131,data,emg_01_cpj_1.mat,data_emg_01_cpj_1,01,cpj,2,,1,166,4341,2301,2.0875,5
171.9470406948604,121.3379911624712,29565.783659063625,191172.3790401189,119.02465904394545,1052,880792.4778483785,154.7939708242352,80.79361882365284,23961.171549026294,178393.4622659193,175.50626808100287,1383,586480.879040896,56.48160903705744,66.3777881767092,34.71552555448408,70.8086513293842,87.10534183259698,83.20705331312853,0.900242133849426,-17.15306987062519,0.5262487249318298,0.4737512750681701,0.4958072315028935,0.26739220278275244,0.30679156908665106,143.0,0.9331550047221109,0.6658559124773248,0.6658559124773248,0.81043586820946,1.3122664105755892,1.2536585365853659,2.396825396825397,1.4745370370370368,1.314638783269962,-0.10509151423148114,0.9475025501363402,-143.0,-0.052497449863659736,-0.20058402711778558,-0.03457818701273674,-0.20058402711778558,0.1917680074836295,0.13593429158110884,1.3102214871623188,14.0,4.0,6.0,12.5,0.2857142857142857,2.0833333333333335,-331.5,13,9,6.028518810478736,8.773967118686974,-0.09911833585893376,-0.21290811406529825,data,emg_01_cpj_1.mat,data_emg_01_cpj_1,01,cpj,2,,2,8037,15295,10101,3.629,5
209.46339496434848,149.4115628873664,43874.90458275065,159059.733309638,153.84615384615387,627,598243.8978010151,210.04642936897585,133.8924769208419,44119.50167183555,177508.69009614323,202.29770229770233,770,536105.4775910509,68.93106893106892,78.49629980447015,61.438561438561436,81.91808191808191,93.79588558222052,78.92107892107892,1.002783466794886,0.5830344046273694,0.4993051004162371,0.5006948995837629,0.4639018772065011,0.47627372627372627,0.476023976023976,-0.5,1.1159876003978397,0.8961319614986991,0.8961319614986992,1.0055748745532558,1.1949083691315485,1.1884057971014492,1.2845528455284552,1.3149350649350648,1.2280701754385965,0.0027796001246904855,0.9986102008324742,0.5,0.0013897991675258493,-0.05477890811945584,0.054814877164701785,-0.05477890811945589,0.13604488078541377,0.10236220472440945,1.4942484546234294,7.5,12.0,2.5,2.5,1.6,1.0,-323.5,13,6,5.28482762236702,7.874925912882436,0.014485514485514495,-0.006493506493506496,data,emg_01_cpj_1.mat,data_emg_01_cpj_1,01,cpj,2,,3,15928,19931,17901,2.0015,5
265.9196123129019,175.00917407869406,70713.23915217326,184618.55426705707,161.9644723092999,635,669935.1183732408,266.0967026915732,174.45191302579238,70807.45514866007,225038.9321967112,208.9864158829676,702,667801.9230627333,67.39811912225706,81.22033522378423,57.47126436781609,87.77429467084639,98.33485843070216,57.47126436781609,1.0006659545609706,0.17709037867132338,0.4998335667782389,0.5001664332217611,0.6152007343030235,0.39733542319749215,0.5208986415882968,236.5,1.2189399548172426,0.9968158180516234,0.9968158180516233,1.001332367143924,1.2107172195209823,1.3023255813953487,1.0,1.2903225806451613,1.105511811023622,0.0006657329116321214,0.9996671335564778,-236.5,0.0003328664435221949,-0.001594629769852066,0.09866871536651156,-0.0015946297698520065,0.12676056338028166,0.05011219147344802,0.8539232912178512,2.0,2.0,8.0,3.0,1.0,0.375,280.5,7,9,6.5125124551350035,5.5574850372780285,-0.027690700104493204,-0.04989550679205851,data,emg_01_cpj_1.mat,data_emg_01_cpj_1,01,cpj,2,,4,24391,28218,26101,1.9135,5
229.79366480331353,156.14083524414417,52805.127871161436,158030.25717380596,154.72186287192756,649,603484.3282186172,234.39992843184527,153.5500167885025,54943.32520546141,193990.63312683732,205.4333764553687,735,593470.8148875621,68.30530401034929,78.1698274646337,24.320827943078914,85.38163001293661,95.00529416214,56.92108667529107,1.0200452159221811,4.606263628531735,0.49503842395106235,0.5049615760489377,0.5453283551679261,0.49676584734799484,0.4789133247089263,-34.5,1.2275537393670197,0.9834071692290447,0.9834071692290448,1.0404922290789056,1.215370396015306,1.25,2.3404255319148937,1.3277591973244147,1.1325115562403698,0.01984695564913544,0.9900768479021247,34.5,0.00992315209787529,-0.008365821717486718,0.10215409637285848,-0.008365821717486783,0.1408045977011494,0.06213872832369942,0.9616996472666992,3.5,3.5,8.0,10.5,1.0,1.3125,375.0,3,6,7.185802052562934,6.774781344403955,-0.001681759379042691,-0.019016817593790425,data,emg_01_cpj_1.mat,data_emg_01_cpj_1,01,cpj,2,,5,32428,36292,34301,1.932,5
267.57480324111157,175.212948153735,71596.27331264886,203092.0347208641,148.64263462394305,693,787406.9890028851,278.41279114654645,172.4010688001185,77513.68159971709,235818.80532226386,184.2456608811749,844,774770.4031877326,67.64574988874055,77.74680107639733,36.49310191366266,74.32131731197153,88.6533164598365,82.33199821984869,1.0405045160237631,10.837987905434886,0.49007487714295966,0.5099251228570404,0.5795091449041457,0.48598130841121495,0.3916332888295505,-212.0,1.161142561038302,0.9839516463637762,0.9839516463637762,1.0826496689461462,1.140282496931571,1.0986842105263157,2.2560975609756095,1.2395209580838322,1.2178932178932178,0.039705707086019004,0.9801497542859193,212.0,0.019850245714080787,-0.00808908506698616,0.07456359610116714,-0.008089085066986157,0.10695187165775394,0.09824333116460637,1.216612383594882,2.0,11.5,4.0,8.0,5.75,2.0,57.0,7,6,6.265015032908576,7.325383749002966,-0.021361815754339097,-0.021361815754339097,data,emg_01_cpj_2.mat,data_emg_01_cpj_2,01,cpj,2,,1,99,4592,2300,2.2465,5
229.863729892,139.89233930285116,52837.324197665934,224797.50857111363,141.80301572024382,971,872088.8432139741,240.67165654417346,128.88677458076222,57922.845911711636,264333.2636402851,191.851138915624,1240,803480.1527364716,71.54315046519089,78.40207781000271,66.41000962463909,87.9050368944498,94.65564481667887,88.54667949951877,1.047018843108704,10.80792665217345,0.488515288155018,0.5114847118449821,0.5463876509908315,0.29820340070580686,0.2980429900545396,-0.5,1.1758727457455986,0.9213283245034373,0.9213283245034374,1.0962486611740712,1.2073104114161946,1.2286995515695067,1.3333333333333333,1.3529411764705883,1.2770339855818744,0.04594692896494616,0.977030576310036,0.5,0.02296942368996409,-0.04094650273627496,0.080828599048118,-0.04094650273627503,0.15000000000000002,0.1216644052464948,1.4015811775869071,11.0,10.5,4.0,8.0,0.9545454545454546,2.0,-2.0,6,6,7.04736959828905,9.433889987245086,-0.15255052935514918,-0.1897658004491498,data,emg_01_cpj_2.mat,data_emg_01_cpj_2,01,cpj,2,,2,8089,14322,10100,3.1165,5
232.9060121794092,148.9800345715658,54245.21019891991,195841.13121465407,151.47374585203983,832,763224.7171101316,224.82317900961905,130.91146439969097,50545.46181977723,219644.95500339533,194.4173335935975,977,670659.4321196169,70.27132539527621,76.81291999882761,26.937341401522545,78.86004294358774,93.97086437496938,72.2233066562561,0.9652957298347289,-8.082833169790149,0.5088292743016822,0.49117072569831777,0.4561790283102012,0.3665820808120242,0.2945539722818661,-184.5,1.121546600763099,0.878718177077646,0.878718177077646,0.9317958513650234,1.2233731561878347,1.1222222222222222,2.681159420289855,1.2835051546391751,1.1742788461538463,-0.035320768803850676,0.9823414513966355,184.5,-0.017658548603364438,-0.06455562329790647,0.0572915064507091,-0.06455562329790646,0.12415349887133181,0.08015478164731896,1.4487085193957403,7.0,8.5,8.0,3.5,1.2142857142857142,0.4375,-122.5,10,6,5.271144727407051,7.910894078926439,-0.08383759515908645,-0.11702127659574468,data,emg_01_cpj_2.mat,data_emg_01_cpj_2,01,cpj,2,,3,16028,21150,18100,2.561,5
258.1577694110942,168.47415710074262,66645.43104790171,199716.0948955841,149.14210294764626,712,765883.5181799759,259.7019990940558,166.26537713249994,67445.12749640986,238397.52412997035,192.25692916849977,839,755842.4044443447,66.4320281566212,75.88418282389908,38.275406951165856,74.35107787065552,88.67405065844956,69.95160580730312,1.0059817284851984,1.5442296829615998,0.49850902717600637,0.5014909728239936,0.5351539251525402,0.49692036955565333,0.5180378354597448,48.0,1.1936820828316803,0.9868895027804063,0.9868895027804063,1.0119992689061212,1.1685445814739988,1.119205298013245,1.827586206896552,1.289085545722714,1.178370786516854,0.005963908973042331,0.9970180543520127,-48.0,0.0029819456479872174,-0.006598503440300626,0.08829086235762514,-0.006598503440300626,0.12628865979381446,0.08188265635074146,1.0573670874659518,13.5,3.5,3.0,9.5,0.25925925925925924,3.1666666666666665,0.0,8,10,5.8827887809159725,6.183280534151392,-0.006159260888693341,-0.018257809062912467,data,emg_01_cpj_2.mat,data_emg_01_cpj_2,01,cpj,2,,4,23848,28393,26101,2.2725,5
242.71666058228882,153.76550819094962,58911.35523765344,164958.56021908164,155.3398058252427,669,601838.1990593768,257.04980333032904,157.14267434273754,66074.60104604422,197152.1027599217,191.10884006131835,776,615056.4273774747,70.51609606540623,79.89566759144638,68.47215125191619,74.09299948901379,90.02248068815125,45.47777210015329,1.0590529826574506,14.333142748040217,0.48566015951147706,0.514339840488523,0.568273294370855,0.41389882473173223,0.4131323454266735,-1.5,1.1951613938560313,1.0219630929687695,1.0219630929687695,1.121593634699009,1.1267504659763183,1.0507246376811594,0.664179104477612,1.230263157894737,1.1599402092675635,0.05737509620577692,0.9713203190229541,1.5,0.02867968097704593,0.010862262048770617,0.0889052597236187,0.010862262048770598,0.10324483775811213,0.07404844290657439,1.131262393729277,7.5,8.0,13.5,4.0,1.0666666666666667,0.2962962962962963,128.5,7,7,6.444533631637084,6.883941277707243,-0.0058763413387838415,-0.035258048032703104,data,emg_01_cpj_2.mat,data_emg_01_cpj_2,01,cpj,2,,5,32318,36231,34300,1.9565,5
398.7313119234402,251.5370017428484,158986.63036681752,259069.84428385654,124.40977212071442,660,1225236.7354894145,97.14594311493832,65.83612406174497,9437.32405895534,101497.20856540106,181.0716485321289,948,320687.7603047597,56.251283104085395,63.860222911738106,37.77458427427633,65.28433586532539,90.70602920689669,36.132211044959966,0.24363760810836738,-301.5853688085019,0.8040927626184031,0.19590723738159696,0.3676095695324216,0.5015397249024841,0.5471155820160132,111.0,0.39177546443496153,0.26173534551807465,0.26173534551807465,0.05935923062952737,1.4203838488359561,1.1605839416058394,0.9565217391304348,1.4554455445544554,1.4363636363636363,-1.4120733703811725,0.3918144747631939,-111.0,-0.6081855252368061,-0.5851184696571928,-0.4370134056156593,-0.5851184696571929,0.1854838709677419,0.1791044776119403,0.24861342053695198,4.5,7.0,11.5,2.0,1.5555555555555556,0.17391304347826086,106.5,9,9,6.5441692781357155,6.677820889156399,-0.06723465407513857,-0.054095668240607686,data,emg_01_qpj_1.mat,data_emg_01_qpj_1,01,qpj,1,,1,25,4895,1701,2.435,5
330.59031296537427,192.15745280997473,109289.95248935356,272596.3218488454,156.2937062937063,914,1099140.6300730554,101.09937348695239,63.93140365284923,10221.083305280368,119930.77391478022,193.006993006993,1158,365687.6288942976,70.2797202797203,74.51128474939806,73.42657342657344,66.0839160839161,93.76683893876547,55.94405594405595,0.3058146882166552,-229.49093947842186,0.7658054462273626,0.23419455377263737,0.24684482210081596,0.36153846153846153,0.2993006993006993,-178.0,0.4399574179921687,0.3327032218525047,0.3327032218525047,0.09352262557050751,1.2584246702245054,0.9402985074626865,0.7619047619047618,1.2348993288590604,1.2669584245076586,-1.1847759545391257,0.46838910754527474,178.0,-0.5316108924547251,-0.5007092105772274,-0.3889299607128223,-0.5007092105772274,0.10510510510510512,0.11776061776061776,0.41144048318848775,4.0,3.0,13.0,2.5,0.75,0.19230769230769232,-89.0,9,5,7.0445949538480646,9.477738196881601,-0.1576923076923077,-0.13653846153846155,data,emg_01_qpj_1.mat,data_emg_01_qpj_1,01,qpj,1,,2,8316,14035,10300,2.8595,5
465.6468442196356,271.65946115579817,216826.98336060336,269447.2280215915,137.71657041314973,628,1223010.8941234034,113.34834699822922,75.41433497629896,12847.846180474895,109101.02911257188,187.4722345624167,876,339515.33606329793,56.41936916925811,63.96203716722104,43.09195912927588,75.07774322523323,94.48379511129511,41.314971123944915,0.24342127173262929,-352.2984972214064,0.8042326625203724,0.19576733747962752,0.196285739577571,0.34451354953354063,0.3976010661928032,119.5,0.4049068528692725,0.2776061420995326,0.2776061420995326,0.059253908260614115,1.4771855196587722,1.330708661417323,0.9587628865979382,1.361290322580645,1.394904458598726,-1.4129617081116557,0.39153467495925504,-119.5,-0.6084653250407449,-0.5654276651436049,-0.4235819235384577,-0.5654276651436049,0.15300546448087426,0.16489361702127658,0.23598529713387323,13.5,3.5,5.0,4.0,0.25925925925925924,0.8,227.0,5,9,7.256765385809846,7.0350874581007,-0.08374055975122169,-0.06219458018658375,data,emg_01_qpj_1.mat,data_emg_01_qpj_1,01,qpj,1,,3,16166,20667,17701,2.2505,5
371.9980412045583,231.81907682787983,138382.54243465787,242304.01071523715,123.65022231632437,710,1094881.4998580765,113.43211644856355,73.4497135820473,12866.845014104705,112317.50543807184,177.00614016514928,914,346902.9972480094,55.89667584162609,66.76716463001364,44.46326487402075,74.52890112216812,98.20546034618974,40.652127884818974,0.3049266498319766,-258.5659247559948,0.7663265978426916,0.23367340215730836,0.21505651647055296,0.24814736396358247,0.4526783823840779,483.0,0.4635396050875555,0.31684067845970226,0.3168406784597023,0.09298026172759641,1.4708646217102312,1.3333333333333333,0.9142857142857143,1.4315068493150684,1.287323943661972,-1.187684023651824,0.4673468043146167,-483.0,-0.5326531956853833,-0.5187866176334889,-0.3665499676589559,-0.518786617633489,0.17746478873239438,0.12561576354679804,0.5477208944599187,7.0,9.0,11.0,2.5,1.2857142857142858,0.22727272727272727,-346.5,8,4,6.124827606753713,11.001649272152767,-0.1197332204107559,-0.07717552403133604,data,emg_01_qpj_1.mat,data_emg_01_qpj_1,01,qpj,1,,4,24392,29114,26500,2.361,5
346.35223941830674,199.0281655624761,119959.87374599952,257584.3634429027,150.18125323666493,940,1152970.163103424,106.65635993161418,67.85434494913865,11375.579031680232,122391.78391655187,182.28896944588297,1104,393080.2202903602,64.21543241843604,67.88346163829968,45.91748662178491,65.59640945969274,87.45958116910016,40.04833419644398,0.30794188052816374,-239.69587948669255,0.7645599662243303,0.23544003377566963,0.24329821139358368,0.28689798032107716,0.3531848783013982,192.0,0.47515222694673304,0.34092835432299046,0.3409283543229904,0.09482820110136696,1.288378333372376,1.0215053763440862,0.8721804511278195,1.213793103448276,1.174468085106383,-1.177844213398453,0.47088006755133927,-192.0,-0.5291199324486606,-0.49150399687816476,-0.3557922792413064,-0.4915039968781646,0.09657320872274149,0.08023483365949119,0.35639195804664175,3.0,1.5,4.0,8.5,0.5,2.125,303.0,6,7,7.47038722444878,8.645741611116849,-0.16252373554289662,-0.14905920939064388,data,emg_01_qpj_1.mat,data_emg_01_qpj_1,01,qpj,1,,5,32030,37822,33701,2.896,5
286.50726346461784,194.6285971023455,82086.38523292608,181319.6827242347,132.86052009456264,642,823278.9657429215,89.34245151437234,62.78853405925462,7982.065601962113,86234.1089603949,190.07092198581557,810,265595.49907064706,54.846335697399525,65.65247602171277,38.29787234042553,71.39479905437352,92.38805063782024,43.97163120567375,0.3118331117821928,-197.1648119502455,0.7622920865608038,0.23770791343919617,0.31016739299282525,0.4453900709219858,0.24964539007092199,-414.0,0.4755915500444954,0.3226069292696862,0.32260692926968615,0.09723982338011866,1.4072287328091846,1.3017241379310345,1.1481481481481481,1.4306049822064055,1.2616822429906542,-1.1652871324156937,0.47541582687839234,414.0,-0.5245841731216078,-0.5121650701651435,-0.35538862359281703,-0.5121650701651435,0.1771595900439238,0.11570247933884298,0.3479278721843606,15.0,3.5,3.5,13.0,0.23333333333333334,3.7142857142857144,38.5,13,14,4.587333170446587,5.118318128156398,-0.11891252955082743,-0.13333333333333336,data,emg_01_qpj_2.mat,data_emg_01_qpj_2,01,qpj,1,,1,0,4229,1500,2.1145,6
355.89354926884215,199.2151992405122,126660.21786528891,245691.90229189862,140.53645636569703,808,1054645.2647792716,104.92246350293779,69.11803353345977,11008.718030118065,108139.11926472199,176.80392897619947,1006,365910.86952613597,62.712504722327154,68.11924976679497,34.756327918398185,61.95693237627502,83.49722367378904,55.912353607857945,0.29481417608859023,-250.97108576590438,0.7723115937924213,0.22768840620757866,0.3579590843867346,0.3252738949754439,0.3014733660748017,-63.0,0.44014116157660493,0.34695160709105166,0.3469516070910517,0.0869153568157172,1.2257507820423785,0.9879518072289156,1.6086956521739129,1.258064516129032,1.245049504950495,-1.2214100326840607,0.4553768124151573,63.0,-0.5446231875848427,-0.48483433960876016,-0.38875275102232726,-0.48483433960876027,0.11428571428571421,0.10915104740904079,0.2760427633238784,3.5,2.0,13.5,5.5,0.5714285714285714,0.4074074074074074,-19.5,6,7,7.342599527554667,6.875081417244093,-0.12448054401208913,-0.10993577635058555,data,emg_01_qpj_2.mat,data_emg_01_qpj_2,01,qpj,1,,2,7509,12802,9301,2.6465,6
