accuracy,precision_macro,recall_macro,f1_macro,scope,train_set,feature_set,n_features,model,decision,n_train_cycles,n_train_files,loso_file_f1,loso_file_precision,loso_file_recall,loso_subject_mean_f1,loso_subject_std_f1
0.8055555555555556,0.856711915535445,0.8055555555555555,0.795095785440613,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,SoftVote_LR_SVM_RF,mean_proba,339,74,0.728464544573967,0.7305555555555555,0.7312409812409814,0.5586419753086419,0.279299671787437
0.7777777777777778,0.8666666666666667,0.7777777777777778,0.7752525252525252,cycle_to_file,data_auto,stable15_plus_timing,20,SoftVote_LR_SVM_RF,mean_proba,295,65,0.7365425325985783,0.7395382395382395,0.7379114452798664,0.5592592592592592,0.3059537248601983
0.7777777777777778,0.8425925925925926,0.7777777777777777,0.7722222222222221,cycle_to_file,data_auto,stable15_plus_timing,20,Ridge,majority_vote,295,65,0.6905066929457173,0.6962387028176503,0.6979114452798664,0.5074074074074074,0.3088986586961932
0.7777777777777778,0.8425925925925926,0.7777777777777777,0.7722222222222221,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,LR_C0.1,mean_proba,339,74,,,,,
0.7777777777777778,0.84688995215311,0.7777777777777778,0.7701418108150225,cycle_to_file,data_auto,stable15_plus_timing,20,LinearSVM,majority_vote,295,65,,,,,
0.7777777777777778,0.8273809523809524,0.7777777777777778,0.768009768009768,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,SoftVote_LR_SVM_RF,majority_vote,339,74,,,,,
0.7777777777777778,0.8273809523809524,0.7777777777777778,0.768009768009768,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,Ridge,majority_vote,339,74,0.6866861354470867,0.6911560044893378,0.6922799422799423,0.508641975308642,0.302653005337786
0.75,0.8571428571428571,0.75,0.7503607503607502,cycle_to_file,data_auto,stable15_plus_timing,20,SoftVote_LR_SVM_RF,majority_vote,295,65,,,,,
0.75,0.8035714285714285,0.75,0.7423687423687424,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,LinearSVM,majority_vote,339,74,,,,,
0.75,0.8571428571428571,0.75,0.7415329768270945,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,LR_C0.03,majority_vote,339,74,0.6891810517864312,0.69,0.6915584415584416,0.5123456790123456,0.3156609302603851
0.75,0.8318713450292398,0.75,0.7381931267130509,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,LR_C0.1,majority_vote,339,74,0.7026530076175467,0.7044593088071349,0.7034632034632035,0.5308641975308641,0.2941019567795456
0.75,0.8571428571428571,0.75,0.7279314888010541,cycle_to_file,standard_manual_data,shift_aware_top15,15,GaussianNB,mean_proba,174,40,0.9138888888888889,0.9138888888888889,0.9138888888888889,0.5487179487179487,0.2153439114977576
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.7241830065359477,cycle_to_file,data_auto,all_cycle_features,62,RF_shallow,majority_vote,295,65,,,,,
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.7241830065359477,cycle_to_file,data_auto,stable15_plus_timing,20,LR_C0.1,mean_proba,295,65,,,,,
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.7241830065359477,cycle_to_file,data_auto,all_cycle_features,62,RF_shallow,mean_proba,295,65,0.722567287784679,0.7280883367839891,0.7245781119465331,0.5474074074074073,0.2917653566131797
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.7170868347338936,cycle_to_file,data_auto,stable15_plus_timing,20,LR_C0.1,majority_vote,295,65,0.7357881136950905,0.7351119894598156,0.7379114452798664,0.5696296296296297,0.31826346377351244
0.7222222222222222,0.8484848484848485,0.7222222222222223,0.7049910873440286,cycle_to_file,data_plus_2_auto,stable15,15,LR_C0.1,majority_vote,339,74,0.7158119658119658,0.7200854700854701,0.7173520923520923,0.537037037037037,0.29338850958805296
0.7222222222222222,0.8222222222222223,0.7222222222222222,0.7013888888888888,cycle_to_file,data_plus_2_auto,stable15_plus_timing,20,LR_C0.03,mean_proba,339,74,,,,,
0.6944444444444444,0.8068181818181818,0.6944444444444445,0.6908496732026143,cycle_to_file,data_auto,literature28,28,Ridge,majority_vote,295,65,0.7799706683427615,0.7801346801346801,0.780451127819549,0.6156613756613756,0.3024814740311862
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.6874680306905371,cycle_to_file,standard_manual_data,shift_aware_top15,15,GaussianNB,majority_vote,174,40,,,,,
0.7222222222222222,0.8484848484848485,0.7222222222222222,0.6874680306905371,cycle_to_file,data_plus_2_auto,stable15,15,LR_C0.1,mean_proba,339,74,,,,,
0.6944444444444444,0.7481146304675717,0.6944444444444445,0.6847509578544061,file_aggregate,data_auto,file_agg_stable15,48,FileAgg_RF,file_classifier,295,65,,,,,
0.6944444444444444,0.7481146304675717,0.6944444444444445,0.6847509578544061,cycle_to_file,data_auto,stable15_plus_timing,20,RF_shallow,majority_vote,295,65,,,,,
