test_subject,samples,accuracy,macro_f1
01,31,0.6774,0.5625
02,25,1.0,1.0
03,30,0.9667,0.9644
04,20,0.2,0.1111
05,29,0.7241,0.7035
06,31,0.6774,0.5556
07,21,1.0,1.0
08,11,1.0,1.0
09,17,1.0,1.0
10,30,0.8667,0.8644
11,11,0.6364,0.4286
12,30,0.3667,0.2365
13,5,0.6,0.5
14,1,1.0,1.0
15,3,1.0,1.0
