model,best_params,cv_mean_f1,test_accuracy,test_f1_macro,test_precision,test_recall
RandomForest,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'scaler': StandardScaler()}",0.8702,0.8627,0.8035,0.9186,0.7667
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'scaler': StandardScaler()}",0.8315,0.8627,0.8035,0.9186,0.7667
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'scaler': MinMaxScaler()}",0.866,0.8235,0.7733,0.7981,0.7583
MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.001, 'scaler': MinMaxScaler()}",0.8843,0.8039,0.7639,0.7639,0.7639
BaggingTree,"{'clf__max_features': 1.0, 'clf__max_samples': 0.8, 'clf__n_estimators': 100, 'scaler': StandardScaler()}",0.863,0.8235,0.7616,0.8146,0.7389
SVC,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'scaler': MinMaxScaler()}",0.8616,0.7843,0.723,0.7436,0.7111
RidgeClassifier,"{'clf__alpha': 1, 'scaler': StandardScaler()}",0.804,0.6863,0.6222,0.6222,0.6222
LogisticRegression,"{'clf__C': 10, 'scaler': StandardScaler()}",0.8307,0.6471,0.5902,0.5882,0.5944
